Wilaya de Ain Defla, Algeria
Wilaya de Ain Temouchent, Algeria
Wilaya de Batna, Algeria
Wilaya de Bejaia, Algeria
Wilaya de Biskra, Algeria
Wilaya de Blida, Algeria
Wilaya de Bordj Bou Arreridj, Algeria
Wilaya de Bouira, Algeria
Wilaya de Boumerdes, Algeria
Wilaya de Bechar, Algeria
Wilaya de Chlef, Algeria
Wilaya de Constantine, Algeria
Wilaya de Djelfa, Algeria
Wilaya de Ghardaia, Algeria
Wilaya de Guelma, Algeria
Wilaya de Jijel, Algeria
Wilaya de Khenchela, Algeria
Wilaya de Laghouat, Algeria
Wilaya de Mascara, Algeria
Wilaya de Mila, Algeria
Wilaya de Mostaganem, Algeria
Wilaya de Medea, Algeria
Wilaya de MSila, Algeria
Wilaya de Naama, Algeria
Wilaya de Ouargla, Algeria
Wilaya de Relizane, Algeria
Wilaya de Saida, Algeria
Wilaya de Sidi Bel Abbes, Algeria
Wilaya de Skikda, Algeria
Wilaya de Souk Ahras, Algeria
Wilaya de Setif, Algeria
Wilaya de Tamanghasset, Algeria
Wilaya de Tiaret, Algeria
Wilaya de Tindouf, Algeria
Wilaya de Tipaza, Algeria
Wilaya de Tissemsilt, Algeria
Wilaya de Tizi Ouzou, Algeria
Wilaya de Tlemcen, Algeria
Wilaya de Tebessa, Algeria
Wilaya d Adrar, Algeria
Wilaya d Alger, Algeria
Wilaya d Annaba, Algeria
Wilaya d El Bayadh, Algeria
Wilaya d El Oued, Algeria
Wilaya d El Tarf, Algeria
Wilaya d Illizi, Algeria
Wilaya d Oran, Algeria
Wilaya d Oum el Bouaghi, Algeria
Bengo Province, Angola
Cuanza Norte Province, Angola
Cunene Province, Angola
Huila Province, Angola
Luanda Province, Angola
Lunda Norte Province, Angola
Malanje Province, Angola
Namibe Province, Angola
Provincia da Lunda Sul, Angola
Provincia de Benguela, Angola
Provincia de Cabinda, Angola
Provincia do Bie, Angola
Provincia do Cuando Cubango, Angola
Provincia do Huambo, Angola
Provincia do Kwanza Sul, Angola
Provincia do Moxico, Angola
Provincia do Uige, Angola
Provincia do Zaire, Angola
Departement de la Donga, Benin
Departement de l Alibori, Benin
Departement de l Atakora, Benin
Departement de l Atlantique, Benin
Departement de l Oueme, Benin
Departement du Borgou, Benin
Departement du Collines, Benin
Departement du Kouffo, Benin
Departement du Littoral, Benin
Departement du Mono, Benin
Departement du Plateau, Benin
Departement du Zou, Benin
Central District, Botswana
Ghanzi District, Botswana
Kgalagadi District, Botswana
Kgatleng District, Botswana
Kweneng District, Botswana
North East District, Botswana
North West District, Botswana
South East District, Botswana
Southern District, Botswana
Boucle du Mouhoun, Burkina Faso
Cascades, Burkina Faso
Centre, Burkina Faso
Centre-Est, Burkina Faso
Centre-Nord, Burkina Faso
Centre-Ouest, Burkina Faso
Centre-Sud, Burkina Faso
Est, Burkina Faso
Hauts-Bassins, Burkina Faso
Nord, Burkina Faso
Plateau-Central, Burkina Faso
Sahel, Burkina Faso
Sud-Ouest, Burkina Faso
Bujumbura Mairie, Burundi
Bujumbura Rural, Burundi
Province de Mwaro, Burundi
iProvense ya Bubanza, Burundi
iProvense ya Bururi, Burundi
iProvense ya Cankuzo, Burundi
iProvense ya Cibitoke, Burundi
iProvense ya Gitega, Burundi
iProvense ya Karuzi, Burundi
iProvense ya Kayanza, Burundi
iProvense ya Kirundo, Burundi
iProvense ya Makamba, Burundi
iProvense ya Muramvya, Burundi
iProvense ya Muyinga, Burundi
iProvense ya Ngozi, Burundi
iProvense ya Rutana, Burundi
iProvense ya Ruyigi, Burundi
Adamaoua Province, Cameroon
Centre Region, Cameroon
East Province, Cameroon
Far North Province, Cameroon
Littoral Province, Cameroon
North Province, Cameroon
North-West Region, Cameroon
South Province, Cameroon
South-West Province, Cameroon
West Province, Cameroon
Concelho da Boa Vista, Cape Verde
Concelho da Brava, Cape Verde
Concelho da Praia, Cape Verde
Concelho da Ribeira Brava, Cape Verde
Concelho da Ribeira Grande, Cape Verde
Concelho de Ribeira Grande de Santiago, Cape Verde
Concelho de Santa Catarina, Cape Verde
Concelho de Santa Catarina do Fogo, Cape Verde
Concelho de Santa Cruz, Cape Verde
Concelho de Sao Domingos, Cape Verde
Concelho de Sao Lourenco dos Orgaos, Cape Verde
Concelho de Sao Miguel, Cape Verde
Concelho de Sao Salvador do Mundo, Cape Verde
Concelho de Sao Vicente, Cape Verde
Concelho do Maio, Cape Verde
Concelho do Paul, Cape Verde
Concelho do Porto Novo, Cape Verde
Concelho do Sal, Cape Verde
Concelho do Sao Filipe, Cape Verde
Concelho do Tarrafal, Cape Verde
Concelho do Tarrafal de Sao Nicolau, Cape Verde
Concelho dos Mosteiros, Cape Verde
Commune de Bangui, Central African Republic
Prefecture de la Bamingui-Bangoran, Central African Republic
Prefecture de la Basse-Kotto, Central African Republic
Prefecture de la Haute-Kotto, Central African Republic
Prefecture de la Kemo, Central African Republic
Prefecture de la Lobaye, Central African Republic
Prefecture de la Mambere-Kadei, Central African Republic
Prefecture de la Nana-Grebizi, Central African Republic
Prefecture de la Nana-Mambere, Central African Republic
Prefecture de la Ouaka, Central African Republic
Prefecture de la Sangha-Mbaere, Central African Republic
Prefecture de la Vakaga, Central African Republic
Prefecture de l Ombella-Mpoko, Central African Republic
Prefecture de l Ouham, Central African Republic
Prefecture de l Ouham-Pende, Central African Republic
Prefecture du Haut-Mbomou, Central African Republic
Prefecture du Mbomou, Central African Republic
Ennedi, Chad
Region de la Ville de N'Djamena, Chad
Region du Barh el Gazel, Chad
Region du Batha, Chad
Region du Borkou, Chad
Region du Chari-Baguirmi, Chad
Region du Guera, Chad
Region du Hadjer-Lamis, Chad
Region du Kanem, Chad
Region du Lac, Chad
Region du Logone Occidental, Chad
Region du Logone Oriental, Chad
Region du Mandoul, Chad
Region du Mayo-Kebbi Est, Chad
Region du Mayo-Kebbi Ouest, Chad
Region du Moyen-Chari, Chad
Region du Ouaddai, Chad
Region du Salamat, Chad
Region du Sila, Chad
Region du Tandjile, Chad
Region du Tibesti, Chad
Region du Wadi Fira, Chad
Mwali, Comoros
Ndzuwani, Comoros
Ile Autonome de Grande Comore, Comoros
Province Orientale, Congo
Province de Bandundu, Congo
Province de l Equateur, Congo
Province du Bas-Congo, Congo
Province du Kasai-Occidental, Congo
Province du Kasai-Oriental, Congo
Province du Katanga, Congo
Province du Maniema, Congo
Province du Nord-Kivu, Congo
Province du Sud-Kivu, Congo
Ville de Kinshasa, Congo
Region de Dikhil, Djibouti
Region de Tadjourah, Djibouti
Region d Ali Sabieh, Djibouti
Region d Arta, Djibouti
Region d Obock, Djibouti
Ville de Djibouti, Djibouti
Alexandria, Egypt
Eastern Province, Egypt
Muhafazat Aswan, Egypt
Muhafazat Asyut, Egypt
Muhafazat Bani Suwayf, Egypt
Muhafazat Bur Said, Egypt
Muhafazat Dumyat, Egypt
Muhafazat Janub Sina, Egypt
Muhafazat Kafr ash Shaykh, Egypt
Muhafazat Matruh, Egypt
Muhafazat Qina, Egypt
Muhafazat Shamal Sina, Egypt
Muhafazat Suhaj, Egypt
Muhafazat ad Daqahliyah, Egypt
Muhafazat al Bahr al Ahmar, Egypt
Muhafazat al Buhayrah, Egypt
Muhafazat al Fayyum, Egypt
Muhafazat al Gharbiyah, Egypt
Muhafazat al Ismailiyah, Egypt
Muhafazat al Jizah, Egypt
Muhafazat al Minya, Egypt
Muhafazat al Minufiyah, Egypt
Muhafazat al Qalyubiyah, Egypt
Muhafazat al Qahirah, Egypt
Muhafazat al Uqsur, Egypt
Muhafazat al Wadi al Jadid, Egypt
Muhafazat as Suways, Egypt
Provincia de Annobon, Equatorial Guinea
Provincia de Bioko Norte, Equatorial Guinea
Provincia de Bioko Sur, Equatorial Guinea
Provincia de Centro Sur, Equatorial Guinea
Provincia de Kie-Ntem, Equatorial Guinea
Provincia de Litoral, Equatorial Guinea
Provincia de Wele-Nzas, Equatorial Guinea
Zoba Debub, Eritrea
Zoba Debubawi Keyih Bahri, Eritrea
Zoba Gash-Barka, Eritrea
Zoba Maakel, Eritrea
Zoba Semenawi Keyih Bahri, Eritrea
Zoba Anseba, Eritrea
Beneshangual Gumz Regional State, Ethiopia
Dire Dawa Region, Ethiopia
Gambela, Ethiopia
Oromia Regional State, Ethiopia
SSNPR, Ethiopia
The State of Afar, Ethiopia
The State of Amhara, Ethiopia
The State of Harari People, Ethiopia
The State of Somalia, Ethiopia
The State of Tigray, Ethiopia
Adis Abeba Astedader, Ethiopia
Province de la Ngounie, Gabon
Province de la Nyanga, Gabon
Province de l Estuaire, Gabon
Province de l Ogooue-Ivindo, Gabon
Province de l Ogooue-Lolo, Gabon
Province de l Ogooue-Maritime, Gabon
Province du Haut-Ogooue, Gabon
Province du Moyen-Ogooue, Gabon
Province du Woleu-Ntem, Gabon
Central River Division, Gambia
City of Banjul, Gambia
Lower River Division, Gambia
North Bank Division, Gambia
Upper River, Gambia
Western Division, Gambia
Ashanti Region, Ghana
Brong-Ahafo, Ghana
Central Region, Ghana
Eastern Region, Ghana
Greater Accra Region, Ghana
Northern Region, Ghana
Upper East Region, Ghana
Upper West Region, Ghana
Volta Region, Ghana
Western Region, Ghana
Capitale dEtat-Zone Speciale de Conakry, Guinea
Prefecture de Beyla, Guinea
Prefecture de Boffa, Guinea
Prefecture de Boke, Guinea
Prefecture de Coyah, Guinea
Prefecture de Dabola, Guinea
Prefecture de Dalaba, Guinea
Prefecture de Dinguiraye, Guinea
Prefecture de Dubreka, Guinea
Prefecture de Faranah, Guinea
Prefecture de Forecariah, Guinea
Prefecture de Fria, Guinea
Prefecture de Gaoual, Guinea
Prefecture de Guekedou, Guinea
Prefecture de Kankan, Guinea
Prefecture de Kindia, Guinea
Prefecture de Kissidougou, Guinea
Prefecture de Koubia, Guinea
Prefecture de Koundara, Guinea
Prefecture de Kouroussa, Guinea
Prefecture de Kerouane, Guinea
Prefecture de Labe, Guinea
Prefecture de Lola, Guinea
Prefecture de Lelouma, Guinea
Prefecture de Macenta, Guinea
Prefecture de Mali, Guinea
Prefecture de Mamou, Guinea
Prefecture de Mandiana, Guinea
Prefecture de Nzerekore, Guinea
Prefecture de Pita, Guinea
Prefecture de Siguiri, Guinea
Prefecture de Tougue, Guinea
Prefecture de Telimele, Guinea
Prefecture de Yomou, Guinea
Bafata, Guinea-Bissau
Biombo, Guinea-Bissau
Bissau Autonomous Region, Guinea-Bissau
Bolama and Bijagos, Guinea-Bissau
Cacheu, Guinea-Bissau
Gabu, Guinea-Bissau
Oio, Guinea-Bissau
Quinara, Guinea-Bissau
Tombali, Guinea-Bissau
Region de la Marahoue, Ivory Coast
Region de la Vallee du Bandama, Ivory Coast
Region de l Agneby, Ivory Coast
Region des Dix-Huit Montagnes, Ivory Coast
Region des Lacs, Ivory Coast
Region des Lagunes, Ivory Coast
Region des Savanes, Ivory Coast
Region du Bafing, Ivory Coast
Region du Bas-Sassandra, Ivory Coast
Region du Denguele, Ivory Coast
Region du Fromager, Ivory Coast
Region du Haut-Sassandra, Ivory Coast
Region du Moyen-Cavally, Ivory Coast
Region du Moyen-Comoe, Ivory Coast
