Badakhshan, Afghanistan
Badghis, Afghanistan
Farah, Afghanistan
Faryab, Afghanistan
Helmand, Afghanistan
Herat, Afghanistan
Kabul, Afghanistan
Kunduz, Afghanistan
Oruzgan, Afghanistan
Paktia, Afghanistan
Panjshir, Afghanistan
Velayat-e Khowst, Afghanistan
Velayat-e Nurestan, Afghanistan
Wilayat-e Baghlan, Afghanistan
Wilayat-e Balkh, Afghanistan
Wilayat-e Bamyan, Afghanistan
Wilayat-e Daykundi, Afghanistan
Wilayat-e Ghazni, Afghanistan
Wilayat-e Ghor, Afghanistan
Wilayat-e Jowzjan, Afghanistan
Wilayat-e Kandahar, Afghanistan
Wilayat-e Kunar, Afghanistan
Wilayat-e Kapisa, Afghanistan
Wilayat-e Laghman, Afghanistan
Wilayat-e Logar, Afghanistan
Wilayat-e Nangarhar, Afghanistan
Wilayat-e Nimroz, Afghanistan
Wilayat-e Paktika, Afghanistan
Wilayat-e Parwan, Afghanistan
Wilayat-e Samangan, Afghanistan
Wilayat-e Sar-e Pul, Afghanistan
Wilayat-e Takhar, Afghanistan
Wilayat-e Wardak, Afghanistan
Zabul, Afghanistan
Aragatsotni Marz, Armenia
Ararati Marz, Armenia
Armaviri Marz, Armenia
Gegharkuniki Marz, Armenia
Kotayki Marz, Armenia
Lorru Marz, Armenia
Shiraki Marz, Armenia
Syuniki Marz, Armenia
Tavushi Marz, Armenia
Vayots Dzori Marz, Armenia
Yerevan, Armenia
Absheron Rayon, Azerbaijan
Aghdam Rayon, Azerbaijan
Aghdash Rayon, Azerbaijan
Aghjabadi Rayon, Azerbaijan
Aghstafa Rayon, Azerbaijan
Aghsu Rayon, Azerbaijan
Ali Bajramly, Azerbaijan
Astara Rayon, Azerbaijan
Baku City, Azerbaijan
Balakan Rayon, Azerbaijan
Barda Rayon, Azerbaijan
Beylagan Rayon, Azerbaijan
Bilasuvar Rayon, Azerbaijan
Cbrayl Rayonu, Azerbaijan
Dashkasan Rayon, Azerbaijan
Davachi Rayon, Azerbaijan
Fizuli Rayon, Azerbaijan
Gadabay Rayon, Azerbaijan
Ganja City, Azerbaijan
Gobustan Rayon, Azerbaijan
Goranboy Rayon, Azerbaijan
Goychay Rayon, Azerbaijan
Goygol Rayon, Azerbaijan
Hajigabul Rayon, Azerbaijan
Imishli Rayon, Azerbaijan
Ismayilli Rayon, Azerbaijan
Jalilabad Rayon, Azerbaijan
Khachmaz Rayon, Azerbaijan
Khizi Rayon, Azerbaijan
Kurdamir Rayon, Azerbaijan
Klbcr Rayonu, Azerbaijan
Lankaran Rayon, Azerbaijan
Lacn Rayonu, Azerbaijan
Lerik Rayon, Azerbaijan
Lnkran Shri, Azerbaijan
Masally Rayon, Azerbaijan
Mingacevir City, Azerbaijan
Naftalan City, Azerbaijan
Nakhichevan, Azerbaijan
Neftchala Rayon, Azerbaijan
Oghuz Rayon, Azerbaijan
Qabala Rayon, Azerbaijan
Qakh Rayon, Azerbaijan
Qazakh Rayon, Azerbaijan
Quba Rayon, Azerbaijan
Qubadli Rayon, Azerbaijan
Qusar Rayon, Azerbaijan
Saatly Rayon, Azerbaijan
Sabirabad Rayon, Azerbaijan
Salyan Rayon, Azerbaijan
Samukh Rayon, Azerbaijan
Shaki City, Azerbaijan
Shaki Rayon, Azerbaijan
Shamakhi Rayon, Azerbaijan
Shamkir Rayon, Azerbaijan
Siazan Rayon, Azerbaijan
Sumqayit City, Azerbaijan
Tartar Rayon, Azerbaijan
Tovuz Rayon, Azerbaijan
Ujar Rayon, Azerbaijan
Xankndi Shri, Azerbaijan
Xocal Rayonu, Azerbaijan
Xocavnd Rayonu, Azerbaijan
Yardymli Rayon, Azerbaijan
Yevlakh Rayon, Azerbaijan
Yevlax City, Azerbaijan
Zangilan Rayon, Azerbaijan
Zaqatala Rayon, Azerbaijan
Zardab Rayon, Azerbaijan
Susa Rayonu, Azerbaijan
Susa Shri, Azerbaijan
Capital Governorate, Bahrain
Central Governorate, Bahrain
Muharraq, Bahrain
Northern Governorate, Bahrain
Southern Governorate, Bahrain
Borishal, Bangladesh
Chittagong, Bangladesh
Dhaka Division, Bangladesh
Khulna Division, Bangladesh
Rangpur Division, Bangladesh
Rajshahi Division, Bangladesh
Sylhet Division, Bangladesh
Bumthang Dzongkhag, Bhutan
Chhukha Dzongkhag, Bhutan
Dagana Dzongkhag, Bhutan
Gasa, Bhutan
Haa Dzongkhag, Bhutan
Lhuentse Dzongkhag, Bhutan
Mongar Dzongkhag, Bhutan
Paro, Bhutan
Pemagatshel Dzongkhag, Bhutan
Punakha Dzongkhag, Bhutan
Samdrup Jongkhar, Bhutan
Samtse Dzongkhag, Bhutan
Sarpang Dzongkhag, Bhutan
Thimphu Dzongkhag, Bhutan
Trashi Yangste, Bhutan
Trashigang Dzongkhag, Bhutan
Trongsa Dzongkhag, Bhutan
Tsirang Dzongkhag, Bhutan
Wangdue Phodrang Dzongkhag, Bhutan
Zhemgang Dzongkhag, Bhutan
British Indian Ocean Territory (general), British Indian Ocean Territory
Belait District, Brunei
Brunei and Muara District, Brunei
Temburong District, Brunei
Tutong District, Brunei
Khett Banteay Mean Choay, Cambodia
Khett Batdambang, Cambodia
Khett Kaoh Kong, Cambodia
Khett Kracheh, Cambodia
Khett Kampong Cham, Cambodia
Khett Kampong Chhnang, Cambodia
Khett Kampong Sp, Cambodia
Khett Kampong Thum, Cambodia
Khett Kampot, Cambodia
Khett Kandal, Cambodia
Khett Keb, Cambodia
Khett Mondol Kiri, Cambodia
Khett Pailin, Cambodia
Khett Pouthisat, Cambodia
Khett Prey Veng, Cambodia
Khett Preah Seihanu, Cambodia
Khett Preah Vihear, Cambodia
Khett Siem Reab, Cambodia
Khett Stng Treng, Cambodia
Khett Svay Rieng, Cambodia
Khett Takev, Cambodia
Khett Rotanokiri, Cambodia
Krong Phnum Penh, Cambodia
Otar Meanchey, Cambodia
Anhui Sheng, China
Beijing Shi, China
Chongqing Shi, China
Fujian, China
Gansu Sheng, China
Guangdong Sheng, China
Guangxi Zhuangzu Zizhiqu, China
Guizhou Sheng, China
Hainan, China
Hebei, China
Heilongjiang Sheng, China
Henan Sheng, China
Hubei, China
Hunan, China
Inner Mongolia, China
Jiangsu Sheng, China
Jiangxi Sheng, China
Jilin Sheng, China
Liaoning, China
Ningxia Huizu Zizhiqu, China
Qinghai Sheng, China
Shaanxi Sheng, China
Shandong Sheng, China
Shanghai Shi, China
Shanxi Sheng, China
Sichuan Sheng, China
Tianjin Shi, China
