Buenos Aires F.D., Argentina
Provincia de Buenos Aires, Argentina
Provincia de Catamarca, Argentina
Provincia de Corrientes, Argentina
Provincia de Cordoba, Argentina
Provincia de Entre Rios, Argentina
Provincia de Formosa, Argentina
Provincia de Jujuy, Argentina
Provincia de La Pampa, Argentina
Provincia de La Rioja, Argentina
Provincia de Mendoza, Argentina
Provincia de Misiones, Argentina
Provincia de Rio Negro, Argentina
Provincia de San Juan, Argentina
Provincia de San Luis, Argentina
Provincia de Santa Cruz, Argentina
Provincia de Santiago del Estero, Argentina
Provincia de Tierra del Fuego, Antartida e Islas del Atlantico Sur, Argentina
Provincia de Tucuman, Argentina
Provincia del Chaco, Argentina
Provincia del Chubut, Argentina
Provincia del Neuquen, Argentina
Salta, Argentina
Santa Fe Province, Argentina
Departamento de Chuquisaca, Bolivia
Departamento de Cochabamba, Bolivia
Departamento de La Paz, Bolivia
Departamento de Pando, Bolivia
Departamento de Potosi, Bolivia
Departamento de Santa Cruz, Bolivia
Departamento de Tarija, Bolivia
Departamento del Beni, Bolivia
Oruro, Bolivia
Amazonas, Brazil
Estado da Bahia, Brazil
Estado da Paraiba, Brazil
Estado de Alagoas, Brazil
Estado de Goias, Brazil
Estado de Mato Grosso, Brazil
Estado de Mato Grosso do Sul, Brazil
Estado de Minas Gerais, Brazil
Estado de Pernambuco, Brazil
Estado de Rondonia, Brazil
Estado de Roraima, Brazil
Estado de Santa Catarina, Brazil
Estado de Sergipe, Brazil
Estado de Sao Paulo, Brazil
Estado de Tocantins, Brazil
Estado do Acre, Brazil
Estado do Amapa, Brazil
Estado do Ceara, Brazil
Estado do Espirito Santo, Brazil
Estado do Maranhao, Brazil
Estado do Parana, Brazil
Estado do Para, Brazil
Estado do Piaui, Brazil
Estado do Rio Grande do Norte, Brazil
Estado do Rio Grande do Sul, Brazil
Federal District, Brazil
Rio de Janeiro, Brazil
Region Aisen del General Carlos Ibanez del Campo, Chile
Region Metropolitana de Santiago, Chile
Region de Antofagasta, Chile
Region de Arica y Parinacota, Chile
Region de Atacama, Chile
Region de Coquimbo, Chile
Region de Los Lagos, Chile
Region de Los Rios, Chile
Region de Magallanes y de la Antartica Chilena, Chile
Region de Tarapaca, Chile
Region de Valparaiso, Chile
Region de la Araucania, Chile
Region del Biobio, Chile
Region del Libertador General Bernardo OHiggins, Chile
Region del Maule, Chile
Atlantico, Colombia
Bogota D.C., Colombia
Cundinamarca, Colombia
Departamento de Antioquia, Colombia
Departamento de Arauca, Colombia
Departamento de Bolivar, Colombia
Departamento de Boyaca, Colombia
Departamento de Caldas, Colombia
Departamento de Casanare, Colombia
Departamento de Cordoba, Colombia
Departamento de La Guajira, Colombia
Departamento de Narino, Colombia
Departamento de Norte de Santander, Colombia
Departamento de Risaralda, Colombia
Departamento de Santander, Colombia
Departamento de Sucre, Colombia
Departamento de Tolima, Colombia
Departamento del Amazonas, Colombia
Departamento del Caqueta, Colombia
Departamento del Cauca, Colombia
Departamento del Cesar, Colombia
Departamento del Choco, Colombia
Departamento del Guainia, Colombia
Departamento del Guaviare, Colombia
Departamento del Huila, Colombia
Departamento del Magdalena, Colombia
Departamento del Meta, Colombia
Departamento del Putumayo, Colombia
Departamento del Quindio, Colombia
Departamento del Valle del Cauca, Colombia
Departamento del Vaupes, Colombia
Departamento del Vichada, Colombia
Providencia y Santa Catalina, Departamento de Archipielago de San Andres, Colombia
Provincia de Bolivar, Ecuador
Provincia de Cotopaxi, Ecuador
Provincia de El Oro, Ecuador
Provincia de Esmeraldas, Ecuador
Provincia de Francisco de Orellana, Ecuador
Provincia de Galapagos, Ecuador
Provincia de Imbabura, Ecuador
Provincia de Loja, Ecuador
Provincia de Los Rios, Ecuador
Provincia de Manabi, Ecuador
Provincia de Morona Santiago, Ecuador
Provincia de Napo, Ecuador
Provincia de Pichincha, Ecuador
Provincia de Santa Elena, Ecuador
Provincia de Santo Domingo de los Tsachilas, Ecuador
Provincia de Sucumbios, Ecuador
Provincia de Zamora Chinchipe, Ecuador
Provincia del Azuay, Ecuador
Provincia del Carchi, Ecuador
Provincia del Canar, Ecuador
Provincia del Chimborazo, Ecuador
Provincia del Guayas, Ecuador
Provincia del Pastaza, Ecuador
Provincia del Tungurahua, Ecuador
Beaver Settlement, Falkland Islands
Bluff Cove, Falkland Islands
Bluff Cove Settlement, Falkland Islands
Bombilia House, Falkland Islands
Burnside House, Falkland Islands
Camp Verde, Falkland Islands
Carcass Island Settlement, Falkland Islands
Ceritos, Falkland Islands
Chartres, Falkland Islands
Cranmer, Falkland Islands
Darwin Settlement, Falkland Islands
Dos Lomas, Falkland Islands
Douglas Settlement, Falkland Islands
Dunnose Head Settlement, Falkland Islands
Estancia House, Falkland Islands
Fitzroy North, Falkland Islands
Fitzroy Settlement, Falkland Islands
Foam Creek House, Falkland Islands
Fox Bay East Settlement, Falkland Islands
Fox Bay West Settlement, Falkland Islands
Goose Green Settlement, Falkland Islands
Green Patch Settlement, Falkland Islands
Hill Cove, Falkland Islands
Hope Cottage, Falkland Islands
Horseshoe Bay, Falkland Islands
Johnson Harbour Settlement, Falkland Islands
Johnson Harbour Settlement, Falkland Islands
Keppel Settlement, Falkland Islands
Lively Settlement, Falkland Islands
Mare Harbour Rancho, Falkland Islands
Mariquita, Falkland Islands
Mid Rancho, Falkland Islands
New Island Settlement, Falkland Islands
North Arm Settlement, Falkland Islands
Orqueta, Falkland Islands
Pebble Island Settlement, Falkland Islands
Piedra Sola, Falkland Islands
Port Howard, Falkland Islands
Port Louis Settlement, Falkland Islands
Port Louis South, Falkland Islands
Port San Carlos Settlement, Falkland Islands
Port Stephens Settlement, Falkland Islands
Rincon Grande Settlement, Falkland Islands
Roy Cove Settlement, Falkland Islands
Salvador Settlement, Falkland Islands
San Carlos Settlement, Falkland Islands
Sand Fountain, Falkland Islands
Saunders Island Settlement, Falkland Islands
Speedwell Island Settlement, Falkland Islands
Spring Point Settlement, Falkland Islands
Stanley, Falkland Islands
Teal Inlet Settlement, Falkland Islands
Tranquilidad, Falkland Islands
Walker Creek, Falkland Islands
Weddell Settlement, Falkland Islands
Westpoint Island Settlement, Falkland Islands
Guyane, French Guiana
Barima-Waini Region, Guyana
Cuyuni-Mazaruni Region, Guyana
Demerara-Mahaica Region, Guyana
East Berbice-Corentyne Region, Guyana
Essequibo Islands-West Demerara Region, Guyana
Mahaica-Berbice Region, Guyana
Pomeroon-Supenaam Region, Guyana
Potaro-Siparuni Region, Guyana
Upper Demerara-Berbice Region, Guyana
Upper Takutu-Upper Essequibo Region, Guyana
Asuncion, Paraguay
Departamento Central, Paraguay
Departamento de Alto Paraguay, Paraguay
Departamento de Boqueron, Paraguay
Departamento de Caaguazu, Paraguay
Departamento de Caazapa, Paraguay
Departamento de Canindeyu, Paraguay
Departamento de Concepcion, Paraguay
Departamento de Itapua, Paraguay
Departamento de Misiones, Paraguay
Departamento de Paraguari, Paraguay
Departamento de Presidente Hayes, Paraguay
Departamento de San Pedro, Paraguay
Departamento de la Cordillera, Paraguay
Departamento de Neembucu, Paraguay
Departamento del Alto Parana, Paraguay
Departamento del Amambay, Paraguay
Departamento del Guaira, Paraguay
Departamento de Amazonas, Peru
Departamento de Ancash, Peru
Departamento de Apurimac, Peru
Departamento de Arequipa, Peru
Departamento de Ayacucho, Peru
Departamento de Cajamarca, Peru
Departamento de Cusco, Peru
Departamento de Huancavelica, Peru
Departamento de Huanuco, Peru
Departamento de Ica, Peru
Departamento de Junin, Peru
Departamento de La Libertad, Peru
Departamento de Lambayeque, Peru
Departamento de Lima, Peru
Departamento de Loreto, Peru
Departamento de Madre de Dios, Peru
Departamento de Moquegua, Peru
Departamento de Pasco, Peru
Departamento de Piura, Peru
Departamento de Puno, Peru
Departamento de San Martin, Peru
Departamento de Tacna, Peru
Departamento de Tumbes, Peru
Departamento de Ucayali, Peru
Provincia Constitucional del Callao, Peru
Provincia de Lima, Peru
Distrikt Brokopondo, Suriname
Distrikt Commewijne, Suriname
Distrikt Coronie, Suriname
Distrikt Marowijne, Suriname
Distrikt Nickerie, Suriname
Distrikt Para, Suriname
Distrikt Paramaribo, Suriname
Distrikt Saramacca, Suriname
Distrikt Sipaliwini, Suriname
Distrikt Wanica, Suriname
Artigas, Uruguay
Canelones, Uruguay
Cerro Largo, Uruguay
Colonia, Uruguay
Departamento de Durazno, Uruguay
Departamento de Flores, Uruguay
Departamento de Montevideo, Uruguay
Departamento de Paysandu, Uruguay
Departamento de Rivera, Uruguay
Departamento de Rocha, Uruguay
Departamento de Rio Negro, Uruguay
Departamento de Salto, Uruguay
Departamento de San Jose, Uruguay
Departamento de Tacuarembo, Uruguay
Departamento de Treinta y Tres, Uruguay
Florida, Uruguay
Lavalleja, Uruguay
Maldonado, Uruguay
Soriano, Uruguay
Dependencias Federales, Venezuela
Distrito Capital, Venezuela
Estado Amazonas, Venezuela
Estado Anzoategui, Venezuela
Estado Apure, Venezuela
Estado Aragua, Venezuela
Estado Barinas, Venezuela
Estado Bolivar, Venezuela
Estado Carabobo, Venezuela
Estado Cojedes, Venezuela
Estado Falcon, Venezuela
