"City, Country"
"Abu Dhabi, United Arab Emirates"
"Abuja, Nigeria"
"Accra, Ghana"
"Adamstown, Pitcairn"
"Addis Ababa, Ethiopia"
"Algiers, Algeria"
"Alofi, Niue"
"Amman, Jordan"
"Amsterdam, Netherlands"
"Andorra la Vella, Andorra"
"Ankara, Turkey"
"Antananarivo, Madagascar"
"Apia, Samoa"
"Ashgabat, Turkmenistan"
"Asmara, Eritrea"
"Astana, Kazakhstan"
"Asunci¢n, Paraguay"
"Athens, Greece"
"Avarua, Cook Islands"
"Baghdad, Iraq"
"Baku, Azerbaijan"
"Bamako, Mali"
"Bandar Seri Begawan, Brunei"
"Bangkok, Thailand"
"Bangui, Central African Republic"
"Banjul, Gambia"
"Basse-Terre, Guadeloupe"
"Basseterre, Saint Kitts and Nevis"
"Beijing, China"
"Beirut, Lebanon"
"Belgrade, Serbia"
"Belmopan, Belize"
"Berlin, Germany"
"Bern, Switzerland"
"Bishkek, Kyrgyzstan"
"Bissau, Guinea-Bissau"
"Bogot , Colombia"
"Bras¡lia, Brazil"
"Bratislava, Slovakia"
"Brazzaville, Republic of the Congo"
"Bridgetown, Barbados"
"Brussels, Belgium"
"Bucharest, Romania"
"Budapest, Hungary"
"Buenos Aires, Argentina"
"Bujumbura, Burundi"
"Cairo, Egypt"
"Canberra, Australia"
"Caracas, Venezuela"
"Castries, Saint Lucia"
"Cayenne, French Guiana"
"Charlotte Amalie, United States Virgin Islands"
"Chi?in?u, Moldova"
"Cockburn Town, Turks and Caicos Islands"
"Conakry, Guinea"
"Copenhagen, Denmark"
"Dakar, Senegal"
"Damascus, Syria"
"Dhaka, Bangladesh"
"Dili, East Timor"
"Djibouti, Djibouti"
"Dodoma, Tanzania"
"Doha, Qatar"
"Douglas, Isle of Man"
"Dublin, Ireland"
"Dushanbe, Tajikistan"
"Edinburgh of the Seven Seas, Tristan da Cunha"
"El Aioun, Sahrawi Arab Democratic Republic [c]"
"Episkopi Cantonment, Akrotiri and Dhekelia"
"Flying Fish Cove, Christmas Island"
"Fort-de-France, Martinique"
"Freetown, Sierra Leone"
"Funafuti, Tuvalu"
"Gaborone, Botswana"
"George Town, Cayman Islands"
